29
risca
calmo
lente
tempo
bruma
ostra
piano
dardo
fruta
chama
calmo
silva
pedra
jaula
praia
gruta
cesto
carro
lente
campo
santo
manta
regra
pente
rosto
sabor
risco
calar
torre
